"Start Time","End Time","Latency","Type","Code"
"1667268616095","1667268617085","990","POST","200"
"1667268617085","1667268617240","155","POST","200"
"1667268617244","1667268617390","146","POST","200"
"1667268617390","1667268617431","41","POST","200"
"1667268617431","1667268617510","79","POST","200"
"1667268617510","1667268617648","138","POST","200"
"1667268617648","1667268617687","39","POST","200"
"1667268617687","1667268617783","96","POST","200"
"1667268617784","1667268617836","52","POST","200"
"1667268617836","1667268617873","37","POST","200"
"1667268617873","1667268617946","73","POST","200"
"1667268617946","1667268618041","95","POST","200"
"1667268618041","1667268618108","67","POST","200"
"1667268618108","1667268618165","57","POST","200"
"1667268618165","1667268618201","36","POST","200"
"1667268618204","1667268618435","231","POST","200"
"1667268618435","1667268618501","66","POST","200"
"1667268618501","1667268618535","34","POST","200"
"1667268618535","1667268618569","34","POST","200"
"1667268618569","1667268618763","194","POST","200"
"1667268618763","1667268618857","94","POST","200"
"1667268618857","1667268618890","33","POST","200"
"1667268618890","1667268618927","37","POST","200"
"1667268618927","1667268619020","93","POST","200"
"1667268619020","1667268619108","88","POST","200"
"1667268619108","1667268619162","54","POST","200"
"1667268619162","1667268619206","44","POST","200"
"1667268619206","1667268619243","37","POST","200"
"1667268619243","1667268619277","34","POST","200"
"1667268619277","1667268619409","132","POST","200"
"1667268619414","1667268619490","76","POST","200"
"1667268619490","1667268619525","35","POST","200"
"1667268619525","1667268619560","35","POST","200"
"1667268619560","1667268619598","38","POST","200"
"1667268619598","1667268619634","36","POST","200"
"1667268619634","1667268619668","34","POST","200"
"1667268619668","1667268619707","39","POST","200"
"1667268619707","1667268619740","33","POST","200"
"1667268619740","1667268619770","30","POST","200"
"1667268619770","1667268619812","42","POST","200"
"1667268619812","1667268619852","40","POST","200"
"1667268619852","1667268619891","39","POST","200"
"1667268619891","1667268619998","107","POST","200"
"1667268619998","1667268620035","37","POST","200"
"1667268620035","1667268620071","36","POST","200"
"1667268620071","1667268620103","32","POST","200"
"1667268620103","1667268620137","34","POST","200"
"1667268620137","1667268620166","29","POST","200"
"1667268620166","1667268620207","41","POST","200"
"1667268620207","1667268620245","38","POST","200"
"1667268620245","1667268620273","28","POST","200"
"1667268620273","1667268620299","26","POST","200"
"1667268620299","1667268620337","38","POST","200"
"1667268620338","1667268620369","31","POST","200"
"1667268620369","1667268620402","33","POST","200"
"1667268620402","1667268620436","34","POST","200"
"1667268620436","1667268620474","38","POST","200"
"1667268620474","1667268620601","127","POST","200"
"1667268620601","1667268620634","33","POST","200"
"1667268620634","1667268620672","38","POST","200"
"1667268620672","1667268620709","37","POST","200"
"1667268620709","1667268620742","33","POST","200"
"1667268620742","1667268620774","32","POST","200"
"1667268620774","1667268620810","36","POST","200"
"1667268620810","1667268620842","32","POST","200"
"1667268620843","1667268620910","67","POST","200"
"1667268620910","1667268620941","31","POST","200"
"1667268620941","1667268620975","34","POST","200"
"1667268620975","1667268621015","40","POST","200"
"1667268621015","1667268621058","43","POST","200"
"1667268621058","1667268621216","158","POST","200"
"1667268621216","1667268621316","100","POST","200"
"1667268621316","1667268621355","39","POST","200"
"1667268621355","1667268621387","32","POST","200"
"1667268621387","1667268621415","28","POST","200"
"1667268621415","1667268621448","33","POST","200"
"1667268621448","1667268621492","44","POST","200"
"1667268621492","1667268621557","65","POST","200"
"1667268621557","1667268621587","30","POST","200"
"1667268621587","1667268621624","37","POST","200"
"1667268621624","1667268621669","45","POST","200"
"1667268621669","1667268621834","165","POST","200"
"1667268621834","1667268621883","49","POST","200"
"1667268621883","1667268621920","37","POST","200"
"1667268621920","1667268621953","33","POST","200"
"1667268621953","1667268621988","35","POST","200"
"1667268621988","1667268622018","30","POST","200"
